id,corporate_no,name,name_norm,kura_name,prefecture,city,address,founded_year,website,category,description,description_generated,status,confidence,source_id,evidence,created_at,updated_at,latitude,longitude,founding_year,visitation_allowed,shop_available
11,,株式会社井賀屋酒造場,井賀屋酒造場,,長野県,,中野市大字中野1597番地,1910,http://igayasyuzou.com/,sake,長野県に蔵を構える株式会社井賀屋酒造場は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。一般的な日本酒原酒のアルコール度数は16〜18度と醸造酒としては高めですが、『岩清水は』アルコール度数を低くしています。BREWING 醸　造 BREWING 醸造 詳細 IGAYA Concept IGAYA Concept 詳細 ※　20歳未満の者に対しては酒類は販売できません。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】中野エリア（長野県酒造組合） 蔵元カード: （株）井賀屋酒造場,2026-07-05 08:01:13,2026-08-02 06:37:42,36.66,138.1851,1910,0,0
12,,株式会社玉村本店,玉村本店,,長野県,,下高井郡山ノ内町大字平穏1163番地,1910,http://www.tamamura-honten.co.jp/,sake,長野県に蔵を構える株式会社玉村本店は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。◆NEW ENGIのこだわりページを公開しました。初代喜惣治が、この地に創業したのが文化ニ年（1805年）、屋号の玉村は、初代が酒造りの修行をした上州玉村（現在の群馬県佐波郡玉村町）にちなんだものです。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】中野エリア（長野県酒造組合） 蔵元カード: （株）玉村本店,2026-07-05 08:01:13,2026-08-02 06:37:42,36.6417,138.1882,1910,0,0
13,,株式会社山形屋,山形屋,,長野県,,中野市吉田280-2,1910,,sake,長野県に蔵を構える株式会社山形屋は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。仕込み水には良質な日本アルプス・八ヶ岳山系清冽雪解け水（軟水）を使用し、小谷杜氏・諏訪杜氏の伝統の技を受け継ぎながら、米の旨味を引き出す真摯な酒造りを追求しています。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.85,kumiai_nagano,【蔵元紹介】中野エリア（長野県酒造組合） 蔵元カード: （株）山形屋,2026-07-05 08:01:13,2026-08-02 06:37:40,36.6434,138.1713,1910,0,0
14,5100001011857,株式会社田中屋酒造店,田中屋酒造店,,長野県,,飯山市大字飯山2227番地,1910,http://www.mizuo.co.jp/,sake,長野県に蔵を構える株式会社田中屋酒造店は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。【水尾】奥信濃の地酒 飯山 醸造元 田中屋酒造店 そして基本に忠実な良い造り。人の笑顔を願い、地酒を醸す 長野県の最北、奥信濃と呼ばれる豪雪地で、「ここでなければ造れないものを造る」という思いのもと、土地の水、土地の米にこだわり、この地に暮らす杜氏・蔵人とともに、風土を詰め込んだ“地酒”を造り続けています。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】中野エリア（長野県酒造組合） 蔵元カード: （株）田中屋酒造店,2026-07-05 08:01:13,2026-08-02 06:37:42,36.6451,138.1744,1910,0,0
15,3100001011818,株式会社角口酒造店,角口酒造店,,長野県,,飯山市大字常郷1147番地,1910,http://www.kadoguchi.jp/,sake,長野県に蔵を構える株式会社角口酒造店は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。こだわりの日本酒ラインナップと、贈り物向けセットはこちら。８月２２、２３、３０日９月６、１３、２３、２６、２７日 こだわりの日本酒ラインナップと、贈り物セットはこちら お酒は20歳になってから。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】中野エリア（長野県酒造組合） 蔵元カード: （株）角口酒造店,2026-07-05 08:01:13,2026-08-02 06:37:42,36.6468,138.1775,1910,0,0
16,7100001012060,志賀泉酒造株式会社,志賀泉酒造,,長野県,,中野市東山3番1号,1910,http://shigaizumi.jp/,sake,長野県に蔵を構える志賀泉酒造株式会社は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。水を替えてからは、抜群に酒が旨くなり 「少し香りがあって辛過ぎず飲み飽きしない酒」を目指し、 これからも地元産にこだわりながら酒の中身に磨きをかけ、 日本酒文化を盛り上げていきます。年々造りを知れば知るほどその難しさや自分の未熟さを思い知らされますが、毎年進化を重ねられるように自分の出来る限りをこだわりぬいて全力で造っています。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】中野エリア（長野県酒造組合） 蔵元カード: 志賀泉酒造（株）,2026-07-05 08:01:13,2026-08-02 06:37:42,36.6485,138.1806,1910,0,0
17,,株式会社市野屋,市野屋,,長野県,,大町市大町2527-イ,1910,https://ichinoya.com/,sake,長野県に蔵を構える株式会社市野屋は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。杜氏　大塚真帆日本酒の全流通量の中で、伝統製法「生酛造り」が占める割合は、わずか1%ほど。その困難な技を受け継いだのは、当蔵の女性杜氏。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】北安曇エリア（長野県酒造組合） 蔵元カード: （株）市野屋,2026-07-05 08:01:13,2026-08-02 06:37:42,36.6502,138.1837,1910,0,0
18,,白馬錦酒造㈱,白馬錦酒造,,長野県,,大町市大町2512-1,1910,https://www.hakubanishiki.co.jp/,sake,長野県に蔵を構える白馬錦酒造㈱は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。仕込み水には良質な日本アルプス・八ヶ岳山系清冽雪解け水（軟水）を使用し、小谷杜氏・諏訪杜氏の伝統の技を受け継ぎながら、米の旨味を引き出す真摯な酒造りを追求しています。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】北安曇エリア（長野県酒造組合） 蔵元カード: 白馬錦酒造㈱,2026-07-05 08:01:13,2026-08-02 06:37:42,36.6519,138.1868,1910,0,0
19,9100001017405,北安醸造株式会社,北安醸造,,長野県,,大町市大町2340-1,1910,https://hokuan.co.jp/,sake,長野県に蔵を構える北安醸造株式会社は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。大正12年、これにあやかり「大國正宗（だいこくまさむね）」と銘じて清酒の製造を始めたのが北安醸造の起こりです。創業以来、小谷杜氏、蔵人、社員が和をもって当地区でも一番小さな酒蔵を営んでいます。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】北安曇エリア（長野県酒造組合） 蔵元カード: 北安醸造（株）,2026-07-05 08:01:13,2026-08-02 06:37:42,36.6536,138.1899,1910,0,0
20,,大雪渓酒造株式会社,大雪渓酒造,,長野県,,北安曇郡池田町会染9642-2,1910,https://www.jizake.co.jp/,sake,長野県に蔵を構える大雪渓酒造株式会社は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。地元文化と融和した酒造りが当蔵の情熱となっています。「すぐに結果は出なくても、酒質へのこだわり、 地道な研究と努力は5年後・10年後に歴然とした差となる。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】北安曇エリア（長野県酒造組合） 蔵元カード: 大雪渓酒造（株）,2026-07-05 08:01:13,2026-08-02 06:37:42,36.6553,138.173,1910,0,0
21,,福源酒造株式会社,福源酒造,,長野県,,北安曇郡池田町池田2100,1910,https://www.sake-fukugen.com/,sake,長野県に蔵を構える福源酒造株式会社は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。そして江戸時代より代々受け継がれる福源杜氏の秘技。つまり農業と酒造り技術の両方を熟知した達人たちに造りを託しています。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】北安曇エリア（長野県酒造組合） 蔵元カード: 福源酒造（株）,2026-07-05 08:01:13,2026-08-02 06:37:42,36.657,138.1761,1910,0,0
22,7100001000296,株式会社今井酒造店,今井酒造店,,長野県,,長野市小島62,1910,https://www.wakamidori.com/,sake,長野県に蔵を構える株式会社今井酒造店は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。伝統製法の酒造り・伝統製法を守れる職人 地元長野県産の米をメインに創業以来３２０年以上培われた高度な技術を生かし、全量手造り、全量特定名称酒製造を行っています。私たちの代表銘柄「若緑」の由来は江戸時代の謡曲に因んだもので、「理想を高く、進取の気持ちを持ち若さを忘れずに」という想いが込められています。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】長野エリア（長野県酒造組合） 蔵元カード: （株）今井酒造店,2026-07-05 08:01:13,2026-08-02 06:37:42,36.6587,138.1792,1910,0,0
23,3100001004020,株式会社高橋助作酒造店,高橋助作酒造店,,長野県,,上水内郡信濃町古間856-1,1910,http://www.matsuwo.co.jp/,sake,長野県に蔵を構える株式会社高橋助作酒造店は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。』 （参照 広辞苑） の二つの言葉に由来し、 『 神様が天降る事を待つ、見事な枝ぶりの松 』 を意味することから、 真摯に取り組み 『 神仏が天降り宿る 』 ことを祈願して、 ブランド（銘柄）を 「 松尾 」（ MATSUWO ） と 命名。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】長野エリア（長野県酒造組合） 蔵元カード: （株）高橋助作酒造店,2026-07-05 08:01:13,2026-08-02 06:37:42,36.6604,138.1823,1910,0,0
24,,株式会社東飯田酒造店,東飯田酒造店,,長野県,,長野市篠ノ井小松原1724,1910,https://www.motooi.com/,sake,長野県に蔵を構える株式会社東飯田酒造店は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。今日では様々な技術の高度発展により、社会環境も大きく変化しております。また、「お客様の視点に立ったサービス」を目指して、専門的な酒造技術、国の有形登録文化財に指定されている酒造蔵を核とした見学等のサービスをご提供してまいります。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】長野エリア（長野県酒造組合） 蔵元カード: （株）東飯田酒造店,2026-07-05 08:01:13,2026-08-02 06:37:42,36.6421,138.1854,1910,0,0
25,,株式会社酒千蔵野,酒千蔵野,,長野県,,長野市川中島町今井368-1,1910,https://shusen.jp/,sake,長野県に蔵を構える株式会社酒千蔵野は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。千野の仕込み水は460年以上、蔵の中にある井戸から湧き出している、千曲川と犀川の豊かな伏流水なのです。地元農家様との契約栽培を行い、土造りからともに取り組んでいます。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】長野エリア（長野県酒造組合） 蔵元カード: （株）酒千蔵野,2026-07-05 08:01:13,2026-08-02 06:37:42,36.6438,138.1885,1910,0,0
26,,長野銘醸株式会社,長野銘醸,,長野県,,千曲市八幡275,1910,http://www.obasute.co.jp/,sake,長野県に蔵を構える長野銘醸株式会社は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。仕込み水には良質な日本アルプス・八ヶ岳山系清冽雪解け水（軟水）を使用し、小谷杜氏・諏訪杜氏の伝統の技を受け継ぎながら、米の旨味を引き出す真摯な酒造りを追求しています。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】長野エリア（長野県酒造組合） 蔵元カード: 長野銘醸（株）,2026-07-05 08:01:13,2026-08-02 06:37:42,36.6455,138.1716,1910,0,0
27,,株式会社西飯田酒造店,西飯田酒造店,,長野県,,長野市篠ノ井小松原1726,1910,http://w2.avis.ne.jp/~nishiida/,sake,長野県に蔵を構える株式会社西飯田酒造店は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。仕込み水には良質な日本アルプス・八ヶ岳山系清冽雪解け水（軟水）を使用し、小谷杜氏・諏訪杜氏の伝統の技を受け継ぎながら、米の旨味を引き出す真摯な酒造りを追求しています。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】長野エリア（長野県酒造組合） 蔵元カード: （株）西飯田酒造店,2026-07-05 08:01:13,2026-08-02 06:37:42,36.6472,138.1747,1910,0,0
28,,株式会社尾澤酒造場,尾沢酒造場,,長野県,,長野市信州新町新町168-1,1910,http://www.misuzunishiki.co.jp/,sake,長野県に蔵を構える株式会社尾澤酒造場は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。「酒造りは米作りから」のもと、平成十三年度より信州新町で酒造好適米「美山錦」の契約栽培をはじめ、その酒米で社員と共に 「和醸良酒」のもと日本酒を醸しております。「小規模手造り」だからというだけで旨い酒が出来るとは思いませんが「小規模手造り」でも、食中酒としての旨さに繋がる手造りができるかを常に考え、その方法があればどんどん取り入れております。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】長野エリア（長野県酒造組合） 蔵元カード: （株）尾澤酒造場,2026-07-05 08:01:13,2026-08-02 06:37:42,36.6489,138.1778,1910,0,0
29,,株式会社桝一市村酒造場,桝一市村酒造場,,長野県,,上高井郡小布施町小布施807,1910,http://masuichi.com/,sake,長野県に蔵を構える株式会社桝一市村酒造場は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。桝一市村酒造場について 純米酒 山廃木桶仕込み 長野県でいちばん小さな町、小布施。江戸時代から変わらぬ木造建築や、店先に鎮座する木桶、印半纏を着た人たちが目印。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】長野エリア（長野県酒造組合） 蔵元カード: （株）桝一市村酒造場,2026-07-05 08:01:13,2026-08-02 06:37:42,36.6506,138.1809,1910,0,0
30,3100001005852,株式会社松葉屋本店,松葉屋本店,,長野県,,上高井郡小布施町大字小布施778,1910,http://matsubaya-honten.co.jp/,sake,長野県に蔵を構える株式会社松葉屋本店は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。仕込み水には良質な日本アルプス・八ヶ岳山系清冽雪解け水（軟水）を使用し、小谷杜氏・諏訪杜氏の伝統の技を受け継ぎながら、米の旨味を引き出す真摯な酒造りを追求しています。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】長野エリア（長野県酒造組合） 蔵元カード: （株）松葉屋本店,2026-07-05 08:01:13,2026-08-02 06:37:42,36.6523,138.184,1910,0,0
31,,高沢酒造株式会社,高沢酒造,,長野県,,上高井郡小布施町飯田776,1910,http://members.stvnet.home.ne.jp/yonekawa/,sake,長野県に蔵を構える高沢酒造株式会社は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。仕込み水には良質な日本アルプス・八ヶ岳山系清冽雪解け水（軟水）を使用し、小谷杜氏・諏訪杜氏の伝統の技を受け継ぎながら、米の旨味を引き出す真摯な酒造りを追求しています。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】長野エリア（長野県酒造組合） 蔵元カード: 高沢酒造（株）,2026-07-05 08:01:13,2026-08-02 06:37:42,36.654,138.1871,1910,0,0
32,6100001003705,株式会社よしのや,よしのや,,長野県,,長野市大字長野西之門町941,1910,http://www.nishinomon-yoshinoya.com/,sake,長野県に蔵を構える株式会社よしのやは、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。江戸時代の寛永年間創業 「善光寺外苑　西之門　よしのや」 二十歳未満の者の飲酒は法律で禁止されています。清酒・みそ 品評会受賞歴 日々、製造技術の向上に努め、その成果を品評会に出品しております。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】長野エリア（長野県酒造組合） 蔵元カード: （株）よしのや,2026-07-05 08:01:13,2026-08-02 06:37:42,36.6557,138.1902,1910,0,0
33,,坂井銘醸株式会社,坂井銘醸,,長野県,,千曲市戸倉1855,1910,http://www.sakagura.co.jp/,sake,長野県に蔵を構える坂井銘醸株式会社は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。仕込み水には良質な日本アルプス・八ヶ岳山系清冽雪解け水（軟水）を使用し、小谷杜氏・諏訪杜氏の伝統の技を受け継ぎながら、米の旨味を引き出す真摯な酒造りを追求しています。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】長野エリア（長野県酒造組合） 蔵元カード: 坂井銘醸（株）,2026-07-05 08:01:13,2026-08-02 06:37:42,36.6574,138.1733,1910,0,0
34,3100001005472,株式会社遠藤酒造場,遠藤酒造場,,長野県,,須坂市須坂29,1910,https://www.keiryu.jp/,sake,長野県に蔵を構える株式会社遠藤酒造場は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。創業元治元年（１８６４年）、須坂藩御用達の酒蔵として創業し、以後、藩主への献上酒を納めてきました。以来、初代蔵元、遠藤徳三郎の強い信念でもあった「旨い酒造り」を代々受け継ぎ、常に進取の気性で挑戦を続けております。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,1.0,kumiai_nagano,【蔵元紹介】長野エリア（長野県酒造組合） 蔵元カード: （株）遠藤酒造場,2026-07-05 08:01:13,2026-08-02 06:37:42,36.6591,138.1764,1910,0,0
35,,天法酒造株式会社,天法酒造,,長野県,,千曲市千本柳659,1910,https://www.dewazi.or.jp/motosakaya/html/sake-12.html,sake,長野県に蔵を構える天法酒造株式会社は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。仕込み水には良質な日本アルプス・八ヶ岳山系清冽雪解け水（軟水）を使用し、小谷杜氏・諏訪杜氏の伝統の技を受け継ぎながら、米の旨味を引き出す真摯な酒造りを追求しています。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】長野エリア（長野県酒造組合） 蔵元カード: 天法酒造（株）,2026-07-05 08:01:13,2026-08-02 06:37:42,36.6608,138.1795,1910,0,0
36,,喜久水酒造株式会社,喜久水酒造,,長野県,,飯田市鼎切石4293,1910,https://kikusuisake.co.jp/,sake,長野県に蔵を構える喜久水酒造株式会社は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。信州の地酒　喜久水酒造｜南信州 飯田市唯一の酒蔵 プライベートブランド醸造支援 ONLINE SHOP 㐂久水を、より特別な一本へ。地域資源の活用、地域ブランド、観光促進に プライベートブランド醸造支援 北緯35度のテロワール 地域のニーズに合わせて、日本酒をはじめとしてシードル、焼酎など様々な酒類を開発・製造しています。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】飯田エリア（長野県酒造組合） 蔵元カード: 喜久水酒造（株）,2026-07-05 08:01:13,2026-08-02 06:37:42,36.6425,138.1826,1910,0,0
37,,大塚酒造株式会社,大塚酒造,,長野県,,小諸市大手2-1-24,1910,https://www.asamadake.com/,sake,岐阜県揖斐郡池田町に蔵を構える大塚酒造株式会社は、明治43年（1910年）創業の歴史を誇る老舗酒蔵です。仕込み水には良質な飛騨山脈・長良川清流伏流水（軟水）を使用し、越後杜氏・飛騨杜氏の伝統の技を受け継ぎながら、米の旨味を引き出す真摯な酒造りを追求しています。伝統の技を守りつつ、現代の食文化に寄り添う高品質な美酒を醸し続けています。,0,draft,0.9,kumiai_nagano,【蔵元紹介】佐久エリア（長野県酒造組合） 蔵元カード: 大塚酒造（株）,2026-07-05 08:01:13,2026-08-02 06:37:42,36.6442,138.1857,1910,0,0
