id,entity,keep_id,merge_id,reason,score,decided
13,brewery,57786,65964,独自ローダー(load_kagoshima_shochu.py等)のnorm_name()が03_normalize.pyの内部空白除去(または旧字体変換)と食い違い、round14銘柄拡充バッチが正しいnorm_name()で再処理したことで重複レコードが生成された。既存id側へ銘柄を移管しrejected化、既存id側のname_normも正規のものへ修正。,1.0,merged
14,brewery,57798,65972,独自ローダー(load_kagoshima_shochu.py等)のnorm_name()が03_normalize.pyの内部空白除去(または旧字体変換)と食い違い、round14銘柄拡充バッチが正しいnorm_name()で再処理したことで重複レコードが生成された。既存id側へ銘柄を移管しrejected化、既存id側のname_normも正規のものへ修正。,1.0,merged
15,brewery,57799,65973,独自ローダー(load_kagoshima_shochu.py等)のnorm_name()が03_normalize.pyの内部空白除去(または旧字体変換)と食い違い、round14銘柄拡充バッチが正しいnorm_name()で再処理したことで重複レコードが生成された。既存id側へ銘柄を移管しrejected化、既存id側のname_normも正規のものへ修正。,1.0,merged
16,brewery,57802,65975,独自ローダー(load_kagoshima_shochu.py等)のnorm_name()が03_normalize.pyの内部空白除去(または旧字体変換)と食い違い、round14銘柄拡充バッチが正しいnorm_name()で再処理したことで重複レコードが生成された。既存id側へ銘柄を移管しrejected化、既存id側のname_normも正規のものへ修正。,1.0,merged
17,brewery,57803,65976,独自ローダー(load_kagoshima_shochu.py等)のnorm_name()が03_normalize.pyの内部空白除去(または旧字体変換)と食い違い、round14銘柄拡充バッチが正しいnorm_name()で再処理したことで重複レコードが生成された。既存id側へ銘柄を移管しrejected化、既存id側のname_normも正規のものへ修正。,1.0,merged
18,brewery,57804,65977,独自ローダー(load_kagoshima_shochu.py等)のnorm_name()が03_normalize.pyの内部空白除去(または旧字体変換)と食い違い、round14銘柄拡充バッチが正しいnorm_name()で再処理したことで重複レコードが生成された。既存id側へ銘柄を移管しrejected化、既存id側のname_normも正規のものへ修正。,1.0,merged
19,brewery,57805,65978,独自ローダー(load_kagoshima_shochu.py等)のnorm_name()が03_normalize.pyの内部空白除去(または旧字体変換)と食い違い、round14銘柄拡充バッチが正しいnorm_name()で再処理したことで重複レコードが生成された。既存id側へ銘柄を移管しrejected化、既存id側のname_normも正規のものへ修正。,1.0,merged
20,brewery,57822,65988,独自ローダー(load_kagoshima_shochu.py等)のnorm_name()が03_normalize.pyの内部空白除去(または旧字体変換)と食い違い、round14銘柄拡充バッチが正しいnorm_name()で再処理したことで重複レコードが生成された。既存id側へ銘柄を移管しrejected化、既存id側のname_normも正規のものへ修正。,1.0,merged
21,brewery,57826,65991,独自ローダー(load_kagoshima_shochu.py等)のnorm_name()が03_normalize.pyの内部空白除去(または旧字体変換)と食い違い、round14銘柄拡充バッチが正しいnorm_name()で再処理したことで重複レコードが生成された。既存id側へ銘柄を移管しrejected化、既存id側のname_normも正規のものへ修正。,1.0,merged
22,brewery,57827,65992,独自ローダー(load_kagoshima_shochu.py等)のnorm_name()が03_normalize.pyの内部空白除去(または旧字体変換)と食い違い、round14銘柄拡充バッチが正しいnorm_name()で再処理したことで重複レコードが生成された。既存id側へ銘柄を移管しrejected化、既存id側のname_normも正規のものへ修正。,1.0,merged
23,brewery,57837,65997,独自ローダー(load_kagoshima_shochu.py等)のnorm_name()が03_normalize.pyの内部空白除去(または旧字体変換)と食い違い、round14銘柄拡充バッチが正しいnorm_name()で再処理したことで重複レコードが生成された。既存id側へ銘柄を移管しrejected化、既存id側のname_normも正規のものへ修正。,1.0,merged
24,brewery,57839,65998,独自ローダー(load_kagoshima_shochu.py等)のnorm_name()が03_normalize.pyの内部空白除去(または旧字体変換)と食い違い、round14銘柄拡充バッチが正しいnorm_name()で再処理したことで重複レコードが生成された。既存id側へ銘柄を移管しrejected化、既存id側のname_normも正規のものへ修正。,1.0,merged
25,brewery,57843,66001,独自ローダー(load_kagoshima_shochu.py等)のnorm_name()が03_normalize.pyの内部空白除去(または旧字体変換)と食い違い、round14銘柄拡充バッチが正しいnorm_name()で再処理したことで重複レコードが生成された。既存id側へ銘柄を移管しrejected化、既存id側のname_normも正規のものへ修正。,1.0,merged
26,brewery,57863,66015,独自ローダー(load_kagoshima_shochu.py等)のnorm_name()が03_normalize.pyの内部空白除去(または旧字体変換)と食い違い、round14銘柄拡充バッチが正しいnorm_name()で再処理したことで重複レコードが生成された。既存id側へ銘柄を移管しrejected化、既存id側のname_normも正規のものへ修正。,1.0,merged
27,brewery,5526,65902,独自ローダー(load_kagoshima_shochu.py等)のnorm_name()が03_normalize.pyの内部空白除去(または旧字体変換)と食い違い、round14銘柄拡充バッチが正しいnorm_name()で再処理したことで重複レコードが生成された。既存id側へ銘柄を移管しrejected化、既存id側のname_normも正規のものへ修正。,1.0,merged
28,brewery,3443,65882,独自ローダー(load_kagoshima_shochu.py等)のnorm_name()が03_normalize.pyの内部空白除去(または旧字体変換)と食い違い、round14銘柄拡充バッチが正しいnorm_name()で再処理したことで重複レコードが生成された。既存id側へ銘柄を移管しrejected化、既存id側のname_normも正規のものへ修正。,1.0,merged
29,brewery,57765,65945,新規銘柄0件の重複。keep_idは便宜上57765(指宿市)としたが実質的には57765/57813どちらとも無関係な空データの除去。,1.0,merged
30,brewery,3443,70732,古いstaged jsonlの再処理による重複再発生(round14と同一原因),1.0,merged
31,brewery,5526,70752,古いstaged jsonlの再処理による重複再発生(round14と同一原因),1.0,merged
